#YYYY[-MM]|ACTIVITY|SUBJECT|[URL]
2017-10|attented|OpenSlava|http://www.openslava.sk/2017
2017-09|read|Foundations of Python Network Programming|http://www.apress.com/gp/book/9781430258544
2017-07|wrote|Devops|http://jreisinger.blogspot.sk/2017/07/devops.html
2017-06|read|The Return of the King|
2017-05|read|Programming in C|https://www.amazon.com/Programming-C-4th-Developers-Library/dp/0321776410
2017-05|read|Thinks Python|http://greenteapress.com/wp/think-python-2e/
2017-03|read|Grokking Algorithms|https://www.manning.com/books/grokking-algorithms
2017-03|wrote|PM post|http://perlmonks.org/?node_id=1184546
2017-03|read|Python Crash Course|https://www.nostarch.com/pythoncrashcourse
2017-01|coded|check_ossec|
2017-01|coded|cat-ossec-keys|
2016|coded|ssh-test|https://github.com/skx/sysadmin-util/issues/17
2016|coded|checkprocs|https://github.com/jreisinger/checkprocs
2016|read|How Linux Works|https://www.nostarch.com/howlinuxworks2
2016|read|Intermediate Perl|https://www.intermediateperl.com/
2016|read|The Phonenix Project|https://en.wikipedia.org/wiki/The_Phoenix_Project_(novel)
2016-12|coded|monitor.py|https://github.com/jreisinger/sys/blob/master/monitor.py
2016-10|wrote|module-build|https://github.com/jreisinger/blog/blob/master/posts/module-build.md
2016-09|wrote|CPAN|https://github.com/jreisinger/blog/blob/master/posts/finding-good-cpan-module.md
2016-05|wrote|tcpdump|https://github.com/jreisinger/blog/blob/master/posts/tcpdump.md
2016-05|wrote|Vagrant|https://github.com/jreisinger/blog/blob/master/posts/vagrant.md
2013-09|coded|sysadmin utility belt|https://github.com/jreisinger/MyUtils
2013-09|coded|teacher|https://github.com/jreisinger/teacher
2013-08|coded|Otter scripts|https://github.com/jreisinger/linux/tree/master/otter
2013-07|coded|monitor|https://github.com/jreisinger/monitor
2013-07|coded|shell over HTTP|https://github.com/jreisinger/http-sh
2013-06|coded|geo-locate-ip.pl|https://github.com/jreisinger/linux/blob/master/geo-locate-ip.pl
2013-05|coded|dlznik.pl|https://github.com/jreisinger/audit/blob/master/scripts/dlznik.pl
2013-05|passed|ICND1
2013-03|read|L. Wall on Perl, religion, and...|http://interviews.slashdot.org/story/02/09/06/1343222/larry-wall-on-perl-religion-and
2013-03|coded|orsr|https://github.com/jreisinger/audit/tree/master/orsr
